A0_V0.3_V0.2.1;France;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;Milliards d'euros;;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB;% du PIB
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;Data / ventil;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;155,2;183,7;213;243,4;284,8;321,5;355,4;383,6;405,3;430,9;453,9;485,4;513,2;539,6;553,6;569;591,5;618,3;649,9;668,8;694,5;727;756;786,5;801;815,5;855,6;894,3;943,2;981,4;1 010,50;979,8;1 008,90;1 065,90;1 101,00;1 137,60;1 158,80;1 182,30;1 196,60;1 244,40;1 273,00;1 287,90;1 223,30;1 326,30;1 425,00;1 453,40;;44,5;46,1;47,2;47,7;48,6;49,4;50,3;50,6;49,8;50,3;49,1;48,7;48,7;49,4;49,0;49,8;50,1;50,8;51,9;51,7;51,4;51,9;51,1;51,1;50,4;50,0;50,2;50,6;51,0;50,5;50,7;50,6;50,6;51,8;52,7;53,7;53,9;53,8;53,6;54,2;53,9;52,8;52,8;53,0;54,0;51,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations publiques locales;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;23,6;27,4;32,3;37;43,2;49,9;54,3;60,1;67,4;71,7;77,3;83,2;90,4;95,5;101,2;106,6;111,7;115,7;123,9;125,6;129,7;135,3;143;146,1;156,1;163,8;175;183,1;193,4;203,6;211,6;222,7;226,7;232,1;236,9;241,3;243,9;245,7;247,6;252,2;257,8;266,1;262,4;278,6;293,8;305,5;;6,8;6,9;7,1;7,2;7,4;7,7;7,7;7,9;8,3;8,4;8,4;8,3;8,6;8,7;8,9;9,3;9,5;9,5;9,9;9,7;9,6;9,7;9,7;9,5;9,8;10,0;10,3;10,4;10,5;10,5;10,6;11,5;11,4;11,3;11,3;11,4;11,3;11,2;11,1;11,0;10,9;10,9;11,3;11,1;11,1;10,9
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administrations de sécurité sociale;V0.3;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;65,3;79;92,2;105,3;125,8;143,7;155,2;164,2;168,9;180,3;191,7;206,6;219;229,9;243,2;253,2;266;275,4;290;299,6;311,8;326,7;343,1;358,8;370,8;382,7;395,6;418,4;442,4;466;488,8;481,5;491,5;519,2;536,9;552,9;566,7;572,5;581,6;601,5;619,5;635,5;613,5;666,2;715,5;747,8;;18,7;19,8;20,4;20,6;21,5;22,1;21,9;21,7;20,7;21,1;20,7;20,7;20,8;21,1;21,5;22,2;22,5;22,6;23,2;23,2;23,1;23,3;23,2;23,3;23,4;23,5;23,2;23,7;23,9;24,0;24,5;24,9;24,6;25,2;25,7;26,1;26,4;26,0;26,0;26,2;26,2;26,1;26,5;26,6;27,1;26,7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Etat;V0.1.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;74,2;86,5;100;114,3;132,2;145,1;157,2;170,3;184,2;194,4;202,5;213,6;220,5;232,2;231,8;232,3;238;248,3;262,1;270,5;278,3;295,3;299,4;313,5;310,8;307,6;338;349,4;347,6;360,7;358,2;320,4;364,1;360,2;375,1;392,8;397,8;402;406,7;427,2;431,8;418;385,8;423,7;460,9;442,7;;21,3;21,7;22,1;22,4;22,6;22,3;22,2;22,5;22,6;22,7;21,9;21,4;20,9;21,3;20,5;20,3;20,2;20,4;20,9;20,9;20,6;21,1;20,2;20,4;19,6;18,9;19,8;19,8;18,8;18,6;18,0;16,5;18,3;17,5;18,0;18,6;18,5;18,3;18,2;18,6;18,3;17,1;16,6;16,9;17,5;15,8
INSEE;https://www.insee.fr/fr/statistiques/8061907;;Ensemble des administrations publiques;V0;Administration publique centrale;V0.1;Organismes divers d'administration centrale;V0.1.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;16,9;19,7;23,3;27,4;33,2;36,3;40,6;45;38,7;40,9;41,2;44,5;48,1;49,7;52;54,5;51,6;55,6;54,9;57,4;58,2;60,2;61,8;66,9;72,2;71,4;78;80,2;84,5;79,8;81;90;110,7;98,5;96,5;103,3;107,3;103,3;95,9;100,1;99,3;110,4;141,6;129,5;148,4;135,3;;4,8;4,9;5,2;5,4;5,7;5,6;5,7;5,9;4,8;4,8;4,5;4,5;4,6;4,5;4,6;4,8;4,4;4,6;4,4;4,4;4,3;4,3;4,2;4,4;4,5;4,4;4,6;4,5;4,6;4,1;4,1;4,6;5,5;4,8;4,6;4,9;5,0;4,7;4,3;4,4;4,2;4,5;6,1;5,2;5,6;4,8
